"14jt -- Varhaiskasvatukseen osallistuneet vieraskieliset ja ulkomaalaiset lapset alueen ja iän mukaan, 2021-2022"

"Vuosi";"Alue";"Ikä";"Vieraskieliset varhaiskasvatukseen osallistuneet lapset"
"2022";"KOKO MAA";"Yhteensä";28811
"2022";"KOKO MAA";"0 vuotta";63
"2022";"KOKO MAA";"1 vuotta";2026
"2022";"KOKO MAA";"2 vuotta";3953
"2022";"KOKO MAA";"3 vuotta";5089
"2022";"KOKO MAA";"4 vuotta";5801
"2022";"KOKO MAA";"5 vuotta";5951
"2022";"KOKO MAA";"6 vuotta";5679
"2022";"KOKO MAA";"7 vuotta ja yli";249
"2022";"Akaa";"Yhteensä";23
"2022";"Akaa";"0 vuotta";0
"2022";"Akaa";"1 vuotta";0
"2022";"Akaa";"2 vuotta";1
"2022";"Akaa";"3 vuotta";7
"2022";"Akaa";"4 vuotta";7
"2022";"Akaa";"5 vuotta";8
"2022";"Akaa";"6 vuotta";0
"2022";"Akaa";"7 vuotta ja yli";0
"2022";"Alajärvi";"Yhteensä";12
"2022";"Alajärvi";"0 vuotta";0
"2022";"Alajärvi";"1 vuotta";1
"2022";"Alajärvi";"2 vuotta";1
"2022";"Alajärvi";"3 vuotta";2
"2022";"Alajärvi";"4 vuotta";2
"2022";"Alajärvi";"5 vuotta";6
"2022";"Alajärvi";"6 vuotta";0
"2022";"Alajärvi";"7 vuotta ja yli";0
"2022";"Alavieska";"Yhteensä";5
"2022";"Alavieska";"0 vuotta";0
"2022";"Alavieska";"1 vuotta";0
"2022";"Alavieska";"2 vuotta";2
"2022";"Alavieska";"3 vuotta";0
"2022";"Alavieska";"4 vuotta";2
"2022";"Alavieska";"5 vuotta";1
"2022";"Alavieska";"6 vuotta";0
"2022";"Alavieska";"7 vuotta ja yli";0
"2022";"Alavus";"Yhteensä";21
"2022";"Alavus";"0 vuotta";0
"2022";"Alavus";"1 vuotta";0
"2022";"Alavus";"2 vuotta";2
"2022";"Alavus";"3 vuotta";3
"2022";"Alavus";"4 vuotta";5
"2022";"Alavus";"5 vuotta";5
"2022";"Alavus";"6 vuotta";5
"2022";"Alavus";"7 vuotta ja yli";1
"2022";"Asikkala";"Yhteensä";9
"2022";"Asikkala";"0 vuotta";0
"2022";"Asikkala";"1 vuotta";1
"2022";"Asikkala";"2 vuotta";0
"2022";"Asikkala";"3 vuotta";2
"2022";"Asikkala";"4 vuotta";1
"2022";"Asikkala";"5 vuotta";2
"2022";"Asikkala";"6 vuotta";3
"2022";"Asikkala";"7 vuotta ja yli";0
"2022";"Askola";"Yhteensä";3
"2022";"Askola";"0 vuotta";0
"2022";"Askola";"1 vuotta";0
"2022";"Askola";"2 vuotta";1
"2022";"Askola";"3 vuotta";0
"2022";"Askola";"4 vuotta";0
"2022";"Askola";"5 vuotta";1
"2022";"Askola";"6 vuotta";1
"2022";"Askola";"7 vuotta ja yli";0
"2022";"Aura";"Yhteensä";2
"2022";"Aura";"0 vuotta";0
"2022";"Aura";"1 vuotta";0
"2022";"Aura";"2 vuotta";1
"2022";"Aura";"3 vuotta";0
"2022";"Aura";"4 vuotta";1
"2022";"Aura";"5 vuotta";0
"2022";"Aura";"6 vuotta";0
"2022";"Aura";"7 vuotta ja yli";0
"2022";"Brändö";"Yhteensä";0
"2022";"Brändö";"0 vuotta";0
"2022";"Brändö";"1 vuotta";0
"2022";"Brändö";"2 vuotta";0
"2022";"Brändö";"3 vuotta";0
"2022";"Brändö";"4 vuotta";0
"2022";"Brändö";"5 vuotta";0
"2022";"Brändö";"6 vuotta";0
"2022";"Brändö";"7 vuotta ja yli";0
"2022";"Eckerö";"Yhteensä";0
"2022";"Eckerö";"0 vuotta";0
"2022";"Eckerö";"1 vuotta";0
"2022";"Eckerö";"2 vuotta";0
"2022";"Eckerö";"3 vuotta";0
"2022";"Eckerö";"4 vuotta";0
"2022";"Eckerö";"5 vuotta";0
"2022";"Eckerö";"6 vuotta";0
"2022";"Eckerö";"7 vuotta ja yli";0
"2022";"Enonkoski";"Yhteensä";3
"2022";"Enonkoski";"0 vuotta";0
"2022";"Enonkoski";"1 vuotta";0
"2022";"Enonkoski";"2 vuotta";1
"2022";"Enonkoski";"3 vuotta";1
"2022";"Enonkoski";"4 vuotta";0
"2022";"Enonkoski";"5 vuotta";0
"2022";"Enonkoski";"6 vuotta";1
"2022";"Enonkoski";"7 vuotta ja yli";0
"2022";"Enontekiö";"Yhteensä";6
"2022";"Enontekiö";"0 vuotta";0
"2022";"Enontekiö";"1 vuotta";1
"2022";"Enontekiö";"2 vuotta";1
"2022";"Enontekiö";"3 vuotta";0
"2022";"Enontekiö";"4 vuotta";2
"2022";"Enontekiö";"5 vuotta";1
"2022";"Enontekiö";"6 vuotta";1
"2022";"Enontekiö";"7 vuotta ja yli";0
"2022";"Espoo";"Yhteensä";4408
"2022";"Espoo";"0 vuotta";7
"2022";"Espoo";"1 vuotta";304
"2022";"Espoo";"2 vuotta";568
"2022";"Espoo";"3 vuotta";817
"2022";"Espoo";"4 vuotta";895
"2022";"Espoo";"5 vuotta";881
"2022";"Espoo";"6 vuotta";926
"2022";"Espoo";"7 vuotta ja yli";10
"2022";"Eura";"Yhteensä";25
"2022";"Eura";"0 vuotta";0
"2022";"Eura";"1 vuotta";2
"2022";"Eura";"2 vuotta";2
"2022";"Eura";"3 vuotta";1
"2022";"Eura";"4 vuotta";5
"2022";"Eura";"5 vuotta";8
"2022";"Eura";"6 vuotta";6
"2022";"Eura";"7 vuotta ja yli";1
"2022";"Eurajoki";"Yhteensä";7
"2022";"Eurajoki";"0 vuotta";0
"2022";"Eurajoki";"1 vuotta";0
"2022";"Eurajoki";"2 vuotta";0
"2022";"Eurajoki";"3 vuotta";4
"2022";"Eurajoki";"4 vuotta";1
"2022";"Eurajoki";"5 vuotta";1
"2022";"Eurajoki";"6 vuotta";1
"2022";"Eurajoki";"7 vuotta ja yli";0
